"Gene","Chromosome","Arm","Cytoband","Start","ChrArm"
"PDZ-GEF1","Chr4","q","4q32.1",159103013,"Chr4q"
"PDZGEF1","Chr4","q","4q32.1",159103013,"Chr4q"
"RA-GEF","Chr4","q","4q32.1",159103013,"Chr4q"
"MIR3688-1","Chr4","q","4q32.1",159128802,"Chr4q"
"HSA-MIR-3688","Chr4","q","4q32.1",159128802,"Chr4q"
"HSA-MIR-3688-1","Chr4","q","4q32.1",159128802,"Chr4q"
"MIR3688","Chr4","q","4q32.1",159128802,"Chr4q"
"MIR3688-2","Chr4","q","4q32.1",159128805,"Chr4q"
"HSA-MIR-3688-2","Chr4","q","4q32.1",159128805,"Chr4q"
"LINC02233","Chr4","q","4q32.1",159665833,"Chr4q"
"RP11-6C14.1","Chr4","q","4q32.1",159665833,"Chr4q"
"LINC02477","Chr4","q","4q32.1",160539254,"Chr4q"
"RPS14P7","Chr4","q","4q32.2",160818422,"Chr4q"
"FSTL5","Chr4","q","4q32.2",161383897,"Chr4q"
"DKFZP566D234","Chr4","q","4q32.2",161383897,"Chr4q"
"KIAA1263","Chr4","q","4q32.2",161383897,"Chr4q"
"MTHFD2P4","Chr4","q","4q32.2",162322188,"Chr4q"
"TOMM22P4","Chr4","q","4q32.2",162521682,"Chr4q"
"MIR4454","Chr4","q","4q32.2",163093574,"Chr4q"
"HSA-MIR-4454","Chr4","q","4q32.2",163093574,"Chr4q"
"NAF1","Chr4","q","4q32.2",163110073,"Chr4q"
"NPY1R","Chr4","q","4q32.2",163323962,"Chr4q"
"NPY5R","Chr4","q","4q32.2",163343892,"Chr4q"
"NPYR5","Chr4","q","4q32.2",163343892,"Chr4q"
"RPL35AP12","Chr4","q","4q32.2",163382179,"Chr4q"
"TKTL2","Chr4","q","4q32.2",163471095,"Chr4q"
"DKFZP434L1717","Chr4","q","4q32.2",163471095,"Chr4q"
"FLJ32975","Chr4","q","4q32.2",163471095,"Chr4q"
"TMA16","Chr4","q","4q32.2",163494442,"Chr4q"
"C4ORF43","Chr4","q","4q32.2",163494442,"Chr4q"
"FLJ11184","Chr4","q","4q32.2",163494442,"Chr4q"
"MARCHF1","Chr4","q","4q32.3",163524298,"Chr4q"
"FLJ20668","Chr4","q","4q32.3",163524298,"Chr4q"
"MARCH-I","Chr4","q","4q32.3",163524298,"Chr4q"
"MARCH1","Chr4","q","4q32.3",163524298,"Chr4q"
"RNF171","Chr4","q","4q32.3",163524298,"Chr4q"
"RN7SKP105","Chr4","q","4q32.3",163828800,"Chr4q"
"YWHAQP4","Chr4","q","4q32.3",163932526,"Chr4q"
"ANP32CP","Chr4","q","4q32.3",164197007,"Chr4q"
"ANP32C","Chr4","q","4q32.3",164197007,"Chr4q"
"PP32R1","Chr4","q","4q32.3",164197007,"Chr4q"
"RNU6-284P","Chr4","q","4q32.3",164620732,"Chr4q"
"CHORDC1P3","Chr4","q","4q32.3",164725310,"Chr4q"
"SMIM31","Chr4","q","4q32.3",164754064,"Chr4q"
"H.EPR","Chr4","q","4q32.3",164754064,"Chr4q"
"LINC01207","Chr4","q","4q32.3",164754064,"Chr4q"
"RNU6-668P","Chr4","q","4q32.3",164787290,"Chr4q"
"APELA","Chr4","q","4q32.3",164877178,"Chr4q"
"ELA","Chr4","q","4q32.3",164877178,"Chr4q"
"ENDE","Chr4","q","4q32.3",164877178,"Chr4q"
"TDL","Chr4","q","4q32.3",164877178,"Chr4q"
"ELABELA","Chr4","q","4q32.3",164877178,"Chr4q"
"TRIM60P14","Chr4","q","4q32.3",164915565,"Chr4q"
"FAM218BP","Chr4","q","4q32.3",164929494,"Chr4q"
"NACA3P","Chr4","q","4q32.3",164943290,"Chr4q"
"NACA3","Chr4","q","4q32.3",164943290,"Chr4q"
"TRIM61","Chr4","q","4q32.3",164954446,"Chr4q"
"RNF35","Chr4","q","4q32.3",164954446,"Chr4q"
"FAM218A","Chr4","q","4q32.3",164956948,"Chr4q"
"C4ORF39","Chr4","q","4q32.3",164956948,"Chr4q"
"FLJ31659","Chr4","q","4q32.3",164956948,"Chr4q"
"TRIM61-AS1","Chr4","q","4q32.3",164956948,"Chr4q"
"RPL21P51","Chr4","q","4q32.3",165012366,"Chr4q"
"TRIM60","Chr4","q","4q32.3",165016458,"Chr4q"
"FLJ35882","Chr4","q","4q32.3",165016458,"Chr4q"
"RNF129","Chr4","q","4q32.3",165016458,"Chr4q"
"RNF33","Chr4","q","4q32.3",165016458,"Chr4q"
"TRIM75","Chr4","q","4q32.3",165053866,"Chr4q"
"TRIM75P","Chr4","q","4q32.3",165053866,"Chr4q"
"TMEM192","Chr4","q","4q32.3",165070608,"Chr4q"
"FLJ38482","Chr4","q","4q32.3",165070608,"Chr4q"
"KLHL2","Chr4","q","4q32.3",165207561,"Chr4q"
"MAV","Chr4","q","4q32.3",165207561,"Chr4q"
"RNU4-87P","Chr4","q","4q32.3",165252580,"Chr4q"
"GK3","Chr4","q","4q32.3",165277807,"Chr4q"
"GK3P","Chr4","q","4q32.3",165277807,"Chr4q"
"GKP3","Chr4","q","4q32.3",165277807,"Chr4q"
"GKTB","Chr4","q","4q32.3",165277807,"Chr4q"
"MSMO1","Chr4","q","4q32.3",165327667,"Chr4q"
"DESP4","Chr4","q","4q32.3",165327667,"Chr4q"
"ERG25","Chr4","q","4q32.3",165327667,"Chr4q"
"SC4MOL","Chr4","q","4q32.3",165327667,"Chr4q"
"CPE","Chr4","q","4q32.3",165361194,"Chr4q"
"MIR578","Chr4","q","4q32.3",165386242,"Chr4q"
"HSA-MIR-578","Chr4","q","4q32.3",165386242,"Chr4q"
"MIRN578","Chr4","q","4q32.3",165386242,"Chr4q"
"HADHAP1","Chr4","q","4q32.3",165404067,"Chr4q"
"HADHAP","Chr4","q","4q32.3",165404067,"Chr4q"
"SCGB1D5P","Chr4","q","4q32.3",165517255,"Chr4q"
"SCGB1D1P1","Chr4","q","4q32.3",165517255,"Chr4q"
"NOL8P1","Chr4","q","4q32.3",165547532,"Chr4q"
"LINC01179","Chr4","q","4q32.3",165684639,"Chr4q"
"TLL1","Chr4","q","4q32.3",165873237,"Chr4q"
"RNA5SP170","Chr4","q","4q32.3",166053187,"Chr4q"
"RN5S170","Chr4","q","4q32.3",166053187,"Chr4q"
"SPOCK3","Chr4","q","4q32.3",166733384,"Chr4q"
"TESTICAN-3","Chr4","q","4q32.3",166733384,"Chr4q"
"RNA5SP171","Chr4","q","4q32.3",166918364,"Chr4q"
"RN5S171","Chr4","q","4q32.3",166918364,"Chr4q"
"RN7SL776P","Chr4","q","4q32.3",167400495,"Chr4q"
"PHB1P14","Chr4","q","4q32.3",167648430,"Chr4q"
"PHBP14","Chr4","q","4q32.3",167648430,"Chr4q"
"RN7SKP188","Chr4","q","4q32.3",167662986,"Chr4q"
"ANXA10","Chr4","q","4q32.3",168092537,"Chr4q"
"ANX14","Chr4","q","4q32.3",168092537,"Chr4q"
"DDX60","Chr4","q","4q32.3",168216291,"Chr4q"
"FLJ20035","Chr4","q","4q32.3",168216291,"Chr4q"
"DDX60L","Chr4","q","4q32.3",168356735,"Chr4q"
"FLJ31033","Chr4","q","4q32.3",168356735,"Chr4q"
"PALLD","Chr4","q","4q32.3",168497052,"Chr4q"
"CGI-151","Chr4","q","4q32.3",168497052,"Chr4q"
"KIAA0992","Chr4","q","4q32.3",168497052,"Chr4q"
"SIH002","Chr4","q","4q32.3",168497052,"Chr4q"
"BTF3L4P4","Chr4","q","4q32.3",168598240,"Chr4q"
"PALLD-AS1","Chr4","q","4q32.3",168647896,"Chr4q"
"RNU6-1336P","Chr4","q","4q32.3",168686608,"Chr4q"
"RPL9P16","Chr4","q","4q32.3",168755816,"Chr4q"
"CBR4","Chr4","q","4q32.3",168863770,"Chr4q"
"FLJ14431","Chr4","q","4q32.3",168863770,"Chr4q"
"SDR45C1","Chr4","q","4q32.3",168863770,"Chr4q"
"RNU6-853P","Chr4","q","4q32.3",168885355,"Chr4q"
"RNY4P17","Chr4","q","4q32.3",169005249,"Chr4q"
"CBR4-DT","Chr4","q","4q32.3",169010430,"Chr4q"
"SH3RF1","Chr4","q","4q33",169094259,"Chr4q"
"KIAA1494","Chr4","q","4q33",169094259,"Chr4q"
"POSH","Chr4","q","4q33",169094259,"Chr4q"
"RNF142","Chr4","q","4q33",169094259,"Chr4q"
"SH3MD2","Chr4","q","4q33",169094259,"Chr4q"
"RPL6P12","Chr4","q","4q32.3",169166272,"Chr4q"
"NEK1","Chr4","q","4q33",169369704,"Chr4q"
"KIAA1901","Chr4","q","4q33",169369704,"Chr4q"
"NY-REN-55","Chr4","q","4q33",169369704,"Chr4q"
"CLCN3","Chr4","q","4q33",169612633,"Chr4q"
"CLC-3","Chr4","q","4q33",169612633,"Chr4q"
"CLC3","Chr4","q","4q33",169612633,"Chr4q"
"HPF1","Chr4","q","4q33",169729470,"Chr4q"
"C4ORF27","Chr4","q","4q33",169729470,"Chr4q"
"FLJ20534","Chr4","q","4q33",169729470,"Chr4q"
"PTGES3P3","Chr4","q","4q33",169791221,"Chr4q"
"LINC02275","Chr4","q","4q33",169917761,"Chr4q"
"MFAP3L","Chr4","q","4q33",169986597,"Chr4q"
"KIAA0626","Chr4","q","4q33",169986597,"Chr4q"
"NYD-SP9","Chr4","q","4q33",169986597,"Chr4q"
"AADAT","Chr4","q","4q33",170060222,"Chr4q"
"KAT2","Chr4","q","4q33",170060222,"Chr4q"
"KATII","Chr4","q","4q33",170060222,"Chr4q"
"KYAT2","Chr4","q","4q33",170060222,"Chr4q"
"APOBEC3AP1","Chr4","q","4q33",170099818,"Chr4q"
"LINC01612","Chr4","q","4q33",170226535,"Chr4q"
"RP11-789C1.1","Chr4","q","4q33",170226535,"Chr4q"
"TCONS_00008319","Chr4","q","4q33",170226535,"Chr4q"
"LINC02512","Chr4","q","4q33",170343089,"Chr4q"
"HSP90AA6P","Chr4","q","4q33",170604716,"Chr4q"
"LINC02382","Chr4","q","4q33",170742469,"Chr4q"
"RNU6ATAC13P","Chr4","q","4q33",170891467,"Chr4q"
"LINC02431","Chr4","q","4q34.1",171040564,"Chr4q"
"MIR6082","Chr4","q","4q34.1",171186184,"Chr4q"
"HSA-MIR-6082","Chr4","q","4q34.1",171186184,"Chr4q"
"LINC02504","Chr4","q","4q34.1",171289475,"Chr4q"
"LINC02174","Chr4","q","4q34.1",171536034,"Chr4q"
"GALNTL6","Chr4","q","4q34.1",171812254,"Chr4q"
"GALNAC-T6L","Chr4","q","4q34.1",171812254,"Chr4q"
"GALNT17","Chr4","q","4q34.1",171812254,"Chr4q"
"GALNT7-DT","Chr4","q","4q34.1",173094868,"Chr4q"
"RN7SL253P","Chr4","q","4q34.1",173141643,"Chr4q"
"GALNAC-T7","Chr4","q","4q34.1",173168811,"Chr4q"
"MIR548T","Chr4","q","4q34.1",173268160,"Chr4q"
"HSA-MIR-548T","Chr4","q","4q34.1",173268160,"Chr4q"
"HMGB2","Chr4","q","4q34.1",173331376,"Chr4q"
"HMG2","Chr4","q","4q34.1",173331376,"Chr4q"
"SAP30-DT","Chr4","q","4q34.1",173349543,"Chr4q"
"ENST00000608794","Chr4","q","4q34.1",173349543,"Chr4q"
"SAP30","Chr4","q","4q34.1",173369969,"Chr4q"
"SCRG1","Chr4","q","4q34.1",173384701,"Chr4q"
"LINCSCRG1","Chr4","q","4q34.1",173384701,"Chr4q"
"SCRG-1","Chr4","q","4q34.1",173384701,"Chr4q"
"RPL5P11","Chr4","q","4q34.1",173419245,"Chr4q"
"RNU6-1096P","Chr4","q","4q34.1",173446603,"Chr4q"
"HAND2","Chr4","q","4q34.1",173524969,"Chr4q"
"BHLHA26","Chr4","q","4q34.1",173524969,"Chr4q"
"DHAND","Chr4","q","4q34.1",173524969,"Chr4q"
"HED","Chr4","q","4q34.1",173524969,"Chr4q"
"THING2","Chr4","q","4q34.1",173524969,"Chr4q"
"HAND2-AS1","Chr4","q","4q34.1",173527270,"Chr4q"
"DEIN","Chr4","q","4q34.1",173527270,"Chr4q"
"FLJ11539","Chr4","q","4q34.1",173527270,"Chr4q"
"NBLA00301","Chr4","q","4q34.1",173527270,"Chr4q"
"MORF4","Chr4","q","4q34.1",173615936,"Chr4q"
"SEN","Chr4","q","4q34.1",173615936,"Chr4q"
"SEN1","Chr4","q","4q34.1",173615936,"Chr4q"
"RANP6","Chr4","q","4q34.1",173633728,"Chr4q"
"LINC02269","Chr4","q","4q34.1",173699082,"Chr4q"
"LINC02268","Chr4","q","4q34.1",174061732,"Chr4q"
"FBXO8","Chr4","q","4q34.1",174236658,"Chr4q"
"FBS","Chr4","q","4q34.1",174236658,"Chr4q"
"FBX8","Chr4","q","4q34.1",174236658,"Chr4q"
"CEP44","Chr4","q","4q34.1",174283730,"Chr4q"
"KIAA1712","Chr4","q","4q34.1",174283730,"Chr4q"
"MIR4276","Chr4","q","4q34.1",174423795,"Chr4q"
"HSA-MIR-4276","Chr4","q","4q34.1",174423795,"Chr4q"
"HPGD","Chr4","q","4q34.1",174490175,"Chr4q"
"SDR36C1","Chr4","q","4q34.1",174490175,"Chr4q"
"GLRA3","Chr4","q","4q34.1",174636920,"Chr4q"
"ADAM29","Chr4","q","4q34.1",174829668,"Chr4q"
"CT73","Chr4","q","4q34.1",174829668,"Chr4q"
"SVPH1","Chr4","q","4q34.1",174829668,"Chr4q"
"TSEN2P1","Chr4","q","4q34.2",175494614,"Chr4q"
"ADAM20P2","Chr4","q","4q34.2",175574868,"Chr4q"
"GPM6A","Chr4","q","4q34.2",175632934,"Chr4q"
"GPM6","Chr4","q","4q34.2",175632934,"Chr4q"
"GPM6A-DT","Chr4","q","4q34.2",175790307,"Chr4q"
"MARK2P4","Chr4","q","4q34.2",176012038,"Chr4q"
"WDR17","Chr4","q","4q34.2",176065841,"Chr4q"
"SPATA4","Chr4","q","4q34.2",176184579,"Chr4q"
"CFAP178","Chr4","q","4q34.2",176184579,"Chr4q"
"FAP178","Chr4","q","4q34.2",176184579,"Chr4q"
"SPEF1B","Chr4","q","4q34.2",176184579,"Chr4q"
"TSARG2","Chr4","q","4q34.2",176184579,"Chr4q"
"ASB5","Chr4","q","4q34.2",176213673,"Chr4q"
"DKFZP313J0816","Chr4","q","4q34.2",176213673,"Chr4q"
"SPCS3-AS1","Chr4","q","4q34.2",176308268,"Chr4q"
"SPCS3","Chr4","q","4q34.2",176319966,"Chr4q"
"FLJ22649","Chr4","q","4q34.2",176319966,"Chr4q"
"PRO3567","Chr4","q","4q34.2",176319966,"Chr4q"
"SPC22/23","Chr4","q","4q34.2",176319966,"Chr4q"
"SPC3","Chr4","q","4q34.2",176319966,"Chr4q"
"YLR066W","Chr4","q","4q34.2",176319966,"Chr4q"
"HAFML","Chr4","q","4q34.3",176669621,"Chr4q"
"VEGFC","Chr4","q","4q34.3",176683538,"Chr4q"
"VEGF-C","Chr4","q","4q34.3",176683538,"Chr4q"
"LINC02509","Chr4","q","4q34.3",176875688,"Chr4q"
"RN7SKP136","Chr4","q","4q34.3",177181442,"Chr4q"
"NEIL3","Chr4","q","4q34.3",177309874,"Chr4q"
"FLJ10858","Chr4","q","4q34.3",177309874,"Chr4q"
"FPG2","Chr4","q","4q34.3",177309874,"Chr4q"
"HFPG2","Chr4","q","4q34.3",177309874,"Chr4q"
"HNEI3","Chr4","q","4q34.3",177309874,"Chr4q"
"ZGRF3","Chr4","q","4q34.3",177309874,"Chr4q"
"AGA","Chr4","q","4q34.3",177430774,"Chr4q"
"ASRG","Chr4","q","4q34.3",177430774,"Chr4q"
"AGA-DT","Chr4","q","4q34.3",177442519,"Chr4q"
"RNA5SP172","Chr4","q","4q34.3",177457111,"Chr4q"
"RN5S172","Chr4","q","4q34.3",177457111,"Chr4q"
"LINC01098","Chr4","q","4q34.3",177728757,"Chr4q"
"LINC01099","Chr4","q","4q34.3",177729638,"Chr4q"
"RNU1-45P","Chr4","q","4q34.3",178116721,"Chr4q"
"RNA5SP173","Chr4","q","4q34.3",178406695,"Chr4q"
"RN5S173","Chr4","q","4q34.3",178406695,"Chr4q"
"NDUFB5P1","Chr4","q","4q34.3",180573464,"Chr4q"
"LINC00290","Chr4","q","4q34.3",181064089,"Chr4q"
"NCRNA00290","Chr4","q","4q34.3",181064089,"Chr4q"
"LINC02500","Chr4","q","4q34.3",181260442,"Chr4q"
"TEMN3-AS1","Chr4","q","4q34.3",181820019,"Chr4q"
"RN7SKP13","Chr4","q","4q34.3",181834865,"Chr4q"
"TENM3-AS1","Chr4","q","4q34.3",181874438,"Chr4q"
"CCNHP1","Chr4","q","4q34.3",181905790,"Chr4q"
"TENM3","Chr4","q","4q34.3",182143987,"Chr4q"
"KIAA1455","Chr4","q","4q34.3",182143987,"Chr4q"
"ODZ3","Chr4","q","4q34.3",182143987,"Chr4q"
"TEN-M3","Chr4","q","4q34.3",182143987,"Chr4q"
"TEN3","Chr4","q","4q34.3",182143987,"Chr4q"
"MIR1305","Chr4","q","4q34.3",182169293,"Chr4q"
"HSA-MIR-1305","Chr4","q","4q34.3",182169293,"Chr4q"
"MIRN1305","Chr4","q","4q34.3",182169293,"Chr4q"
"RNU2-34P","Chr4","q","4q35.1",182548659,"Chr4q"
"RN7SKP67","Chr4","q","4q35.1",182631454,"Chr4q"
"DCTD","Chr4","q","4q35.1",182890060,"Chr4q"
"CIBAR1P2","Chr4","q","4q35.1",183037665,"Chr4q"
"FAM92A1P2","Chr4","q","4q35.1",183037665,"Chr4q"
"FAM92A3","Chr4","q","4q35.1",183037665,"Chr4q"
"MGC102964","Chr4","q","4q35.1",183037767,"Chr4q"
"MGC71735","Chr4","q","4q35.1",183037767,"Chr4q"
"WWC2-AS2","Chr4","q","4q35.1",183097017,"Chr4q"
"C4ORF38","Chr4","q","4q35.1",183097017,"Chr4q"
"FLJ30277","Chr4","q","4q35.1",183097017,"Chr4q"
"WWC2","Chr4","q","4q35.1",183099257,"Chr4q"
"BOMB","Chr4","q","4q35.1",183099257,"Chr4q"
"FLJ22029","Chr4","q","4q35.1",183099257,"Chr4q"
"WWC2-AS1","Chr4","q","4q35.1",183233628,"Chr4q"
"CLDN22","Chr4","q","4q35.1",183318100,"Chr4q"
"CLDN21","Chr4","q","4q35.1",183318100,"Chr4q"
"CLDN24","Chr4","q","4q35.1",183321764,"Chr4q"
"FBLP1","Chr4","q","4q35.1",183418890,"Chr4q"
"CDKN2AIP","Chr4","q","4q35.1",183444635,"Chr4q"
"FLJ20036","Chr4","q","4q35.1",183444635,"Chr4q"
"VTI1BP2","Chr4","q","4q35.1",183483490,"Chr4q"
"ING2-DT","Chr4","q","4q35.1",183494884,"Chr4q"
"ING2","Chr4","q","4q35.1",183505058,"Chr4q"
"ING1L","Chr4","q","4q35.1",183505058,"Chr4q"
"P33ING2","Chr4","q","4q35.1",183505058,"Chr4q"
"RWDD4","Chr4","q","4q35.1",183639635,"Chr4q"
"FAM28A","Chr4","q","4q35.1",183639635,"Chr4q"
"MGC10198","Chr4","q","4q35.1",183639635,"Chr4q"
"RWDD4A","Chr4","q","4q35.1",183639635,"Chr4q"
"RNU6-479P","Chr4","q","4q35.1",183653572,"Chr4q"
"TRAPPC11","Chr4","q","4q35.1",183659267,"Chr4q"
"C4ORF41","Chr4","q","4q35.1",183659267,"Chr4q"
"FLJ12716","Chr4","q","4q35.1",183659267,"Chr4q"
"FOIGR","Chr4","q","4q35.1",183659267,"Chr4q"
"GRY","Chr4","q","4q35.1",183659267,"Chr4q"
"RNU6-335P","Chr4","q","4q35.1",183675603,"Chr4q"
"RNU6-1053P","Chr4","q","4q35.1",183705931,"Chr4q"
"STOX2","Chr4","q","4q35.1",183797692,"Chr4q"
"DKFZP762K222","Chr4","q","4q35.1",183797692,"Chr4q"
"ENPP6","Chr4","q","4q35.1",184088706,"Chr4q"
"MGC33971","Chr4","q","4q35.1",184088706,"Chr4q"
"RPL6P16","Chr4","q","4q35.1",184254509,"Chr4q"
"RN7SL28P","Chr4","q","4q35.1",184278936,"Chr4q"
"MYL12BP2","Chr4","q","4q35.1",184299129,"Chr4q"
"LINC02363","Chr4","q","4q35.1",184334292,"Chr4q"
"LINC02362","Chr4","q","4q35.1",184365180,"Chr4q"
"IRF2","Chr4","q","4q35.1",184385702,"Chr4q"
"SNORD79","Chr4","q","4q35.1",184431966,"Chr4q"
"IRF2-DT","Chr4","q","4q35.1",184474802,"Chr4q"
"LINC02427","Chr4","q","4q35.1",184503271,"Chr4q"
"LINC02365","Chr4","q","4q35.1",184584093,"Chr4q"
"LVCAT8","Chr4","q","4q35.1",184584093,"Chr4q"
"CASP3","Chr4","q","4q35.1",184627696,"Chr4q"
"APOPAIN","Chr4","q","4q35.1",184627696,"Chr4q"
"CPP32","Chr4","q","4q35.1",184627696,"Chr4q"
"CPP32B","Chr4","q","4q35.1",184627696,"Chr4q"
"YAMA","Chr4","q","4q35.1",184627696,"Chr4q"
"PRIMPOL","Chr4","q","4q35.1",184649667,"Chr4q"
"CCDC111","Chr4","q","4q35.1",184649667,"Chr4q"
"FLJ33167","Chr4","q","4q35.1",184649667,"Chr4q"
"CENPU","Chr4","q","4q35.1",184694085,"Chr4q"
"CENP-50","Chr4","q","4q35.1",184694085,"Chr4q"
"CENP-U","Chr4","q","4q35.1",184694085,"Chr4q"
"KLIP1","Chr4","q","4q35.1",184694085,"Chr4q"
"MLF1IP","Chr4","q","4q35.1",184694085,"Chr4q"
"PBIP1","Chr4","q","4q35.1",184694085,"Chr4q"
"ACSL1","Chr4","q","4q35.1",184755595,"Chr4q"
"ACS1","Chr4","q","4q35.1",184755595,"Chr4q"
"FACL1","Chr4","q","4q35.1",184755595,"Chr4q"
"FACL2","Chr4","q","4q35.1",184755595,"Chr4q"
"LACS","Chr4","q","4q35.1",184755595,"Chr4q"
"LACS1","Chr4","q","4q35.1",184755595,"Chr4q"
"LACS2","Chr4","q","4q35.1",184755595,"Chr4q"
"SLED1","Chr4","q","4q35.1",184798296,"Chr4q"
"MIR3945HG","Chr4","q","4q35.1",184843296,"Chr4q"
"MIR3945","Chr4","q","4q35.1",184851013,"Chr4q"
"HSA-MIR-3945","Chr4","q","4q35.1",184851013,"Chr4q"
"LINC01093","Chr4","q","4q35.1",184892858,"Chr4q"
"TRPC6P7","Chr4","q","4q35.1",184910889,"Chr4q"
"MIR4455","Chr4","q","4q35.1",184938383,"Chr4q"
"HSA-MIR-4455","Chr4","q","4q35.1",184938383,"Chr4q"
"LINC02437","Chr4","q","4q35.1",184988997,"Chr4q"
"HELT","Chr4","q","4q35.1",185018490,"Chr4q"
"BHLHB44","Chr4","q","4q35.1",185018490,"Chr4q"
"HCM1228","Chr4","q","4q35.1",185018490,"Chr4q"
"HESL","Chr4","q","4q35.1",185018490,"Chr4q"
"MEGANE","Chr4","q","4q35.1",185018490,"Chr4q"
"MGN","Chr4","q","4q35.1",185018490,"Chr4q"
"LINC02436","Chr4","q","4q35.1",185051081,"Chr4q"
"SLC25A4","Chr4","q","4q35.1",185143266,"Chr4q"
"AAC1","Chr4","q","4q35.1",185143266,"Chr4q"
"ANT1","Chr4","q","4q35.1",185143266,"Chr4q"
"PEO2","Chr4","q","4q35.1",185143266,"Chr4q"
"PEO3","Chr4","q","4q35.1",185143266,"Chr4q"
"CFAP97","Chr4","q","4q35.1",185159665,"Chr4q"
"DKFZP434F1728","Chr4","q","4q35.1",185159665,"Chr4q"
"HMW","Chr4","q","4q35.1",185159665,"Chr4q"
"KIAA1430","Chr4","q","4q35.1",185159665,"Chr4q"
"SNX25","Chr4","q","4q35.1",185204237,"Chr4q"
"SBBI31","Chr4","q","4q35.1",185204237,"Chr4q"
"LRP2BP","Chr4","q","4q35.1",185363872,"Chr4q"
"DKFZP761O0113","Chr4","q","4q35.1",185363872,"Chr4q"
"LRP2BP-AS1","Chr4","q","4q35.1",185370725,"Chr4q"
"RP11-714G18.1","Chr4","q","4q35.1",185370725,"Chr4q"
"ANKRD37","Chr4","q","4q35.1",185396021,"Chr4q"
"UFSP2","Chr4","q","4q35.1",185399537,"Chr4q"
"C4ORF20","Chr4","q","4q35.1",185399537,"Chr4q"
"FLJ11200","Chr4","q","4q35.1",185399537,"Chr4q"
"CFAP96","Chr4","q","4q35.1",185426249,"Chr4q"
"C4ORF47","Chr4","q","4q35.1",185426249,"Chr4q"
"LOC441054","Chr4","q","4q35.1",185426249,"Chr4q"
"C4ORF47","Chr4","q","4q35.1",185426249,"Chr4q"
"CCDC110","Chr4","q","4q35.1",185445182,"Chr4q"
"CT52","Chr4","q","4q35.1",185445182,"Chr4q"
"KM-HN-1","Chr4","q","4q35.1",185445182,"Chr4q"
"MGC33607","Chr4","q","4q35.1",185445182,"Chr4q"
"PDLIM3","Chr4","q","4q35.1",185500660,"Chr4q"
"ALP","Chr4","q","4q35.1",185500660,"Chr4q"
"SORBS2","Chr4","q","4q35.1",185585444,"Chr4q"
"ARGBP2","Chr4","q","4q35.1",185585444,"Chr4q"
"KIAA0777","Chr4","q","4q35.1",185585444,"Chr4q"
"SORBS2-AS1","Chr4","q","4q35.1",185587909,"Chr4q"
"AC093797.1","Chr4","q","4q35.1",185587909,"Chr4q"
"RP11-301L8.2","Chr4","q","4q35.1",185587909,"Chr4q"
"RNU4-64P","Chr4","q","4q35.1",186026456,"Chr4q"
"TLR3","Chr4","q","4q35.1",186068911,"Chr4q"
"CD283","Chr4","q","4q35.1",186068911,"Chr4q"
"FAM149A","Chr4","q","4q35.1",186104419,"Chr4q"
"DKFZP564J102","Chr4","q","4q35.1",186104419,"Chr4q"
"MST119","Chr4","q","4q35.1",186104419,"Chr4q"
"MSTP119","Chr4","q","4q35.1",186104419,"Chr4q"
"RPSAP70","Chr4","q","4q35.1",186157896,"Chr4q"
"LTO1P1","Chr4","q","4q35.1",186170863,"Chr4q"
"ORAOV1P1","Chr4","q","4q35.1",186170863,"Chr4q"
"FLJ38576","Chr4","q","4q35.1",186189032,"Chr4q"
"CYP4V2","Chr4","q","4q35.1",186191567,"Chr4q"
"CYP4AH1","Chr4","q","4q35.1",186191567,"Chr4q"
"KLKB1","Chr4","q","4q35.2",186226438,"Chr4q"
"KLK3","Chr4","q","4q35.2",186226438,"Chr4q"
"F11","Chr4","q","4q35.2",186266189,"Chr4q"
"FXI","Chr4","q","4q35.2",186266189,"Chr4q"
"F11-AS1","Chr4","q","4q35.2",186286094,"Chr4q"
"SLC25A5P6","Chr4","q","4q35.2",186328716,"Chr4q"
"ANTP6","Chr4","q","4q35.2",186328716,"Chr4q"
"RNU6-1055P","Chr4","q","4q35.2",186501109,"Chr4q"
"MTNR1A","Chr4","q","4q35.2",186526792,"Chr4q"
"MEL-1A-R","Chr4","q","4q35.2",186526792,"Chr4q"
"FAT1","Chr4","q","4q35.2",186587794,"Chr4q"
"CDHF7","Chr4","q","4q35.2",186587794,"Chr4q"
"CDHR8","Chr4","q","4q35.2",186587794,"Chr4q"
"FAT","Chr4","q","4q35.2",186587794,"Chr4q"
"MRPS36P2","Chr4","q","4q35.2",186900540,"Chr4q"
"LINC02374","Chr4","q","4q35.2",187201986,"Chr4q"
"LINC02514","Chr4","q","4q35.2",187370648,"Chr4q"
"LINC02515","Chr4","q","4q35.2",187408232,"Chr4q"
"COPS3P1","Chr4","q","4q35.2",187441677,"Chr4q"
"LINC02492","Chr4","q","4q35.2",187532873,"Chr4q"
"ADAM20P3","Chr4","q","4q35.2",187746094,"Chr4q"
"ZFP42","Chr4","q","4q35.2",187995771,"Chr4q"
"REX1","Chr4","q","4q35.2",187995771,"Chr4q"
"ZNF754","Chr4","q","4q35.2",187995771,"Chr4q"
"TRIML2","Chr4","q","4q35.2",188091272,"Chr4q"
"FLJ25801","Chr4","q","4q35.2",188091272,"Chr4q"
"SPRYD6","Chr4","q","4q35.2",188091272,"Chr4q"
